behavior_id,user_id,product_id,product_name,category_id,category_name,behavior,datetime,price,quantity,channel,device,province,city,user_segment,page_type,session_id,is_new_user,campaign_id,source_keyword,order_id
B000001,U000038,P000030,轻氧家居日用套装,C04,家居日用,buy,2026-01-01 22:14:00,106.00,1,jd,windows,四川省,成都市,high_value,checkout,S000002,0,C202606,轻氧家居,O000001
B000002,U000075,P000168,轻氧服饰升级版,C03,服饰,buy,2026-01-01 19:23:00,368.00,1,search,mac,江苏省,南京市,high_value,checkout,S000003,0,C202604,轻氧服饰,O000002
B000003,U000112,P000045,云感食品饮料套装,C02,食品饮料,buy,2026-01-01 17:30:00,67.00,1,douyin,ios,广东省,深圳市,high_value,checkout,S000004,0,C202606,云感食品,O000003
B000004,U000149,P000041,轻盈家居日用旗舰款,C04,家居日用,buy,2026-01-01 18:34:00,166.00,1,douyin,windows,北京市,北京市,member,checkout,S000005,0,C202606,轻盈家居,O000004
B000005,U000186,P000081,云感数码配件旗舰款,C05,数码配件,buy,2026-01-01 08:06:00,152.00,2,douyin,mac,上海市,上海市,member,checkout,S000006,0,C202605,云感数码,O000005
B000006,U000223,P000079,悦活服饰日常款,C03,服饰,buy,2026-01-01 09:55:00,452.00,1,offline,ios,北京市,北京市,member,checkout,S000007,0,C202604,悦活服饰,O000006
B000007,U000260,P000056,臻选旅行用品旗舰款,C10,旅行用品,buy,2026-01-01 18:38:00,443.00,1,offline,android,上海市,上海市,member,checkout,S000008,0,C202602,臻选旅行,O000007
B000008,U000297,P000123,云感宠物用品升级版,C08,宠物用品,buy,2026-01-01 18:43:00,83.00,4,search,mac,江苏省,南京市,member,checkout,S000009,0,C202604,云感宠物,O000008
B000009,U000334,P000090,轻氧旅行用品套装,C10,旅行用品,buy,2026-01-01 16:55:00,170.00,1,douyin,windows,福建省,厦门市,member,checkout,S000010,0,C202606,轻氧旅行,O000009
B000010,U000371,P000025,悦活宠物用品套装,C08,宠物用品,buy,2026-01-01 20:35:00,105.00,2,jd,windows,上海市,上海市,member,checkout,S000011,0,C202601,悦活宠物,O000010
B000011,U000408,P000039,云感生鲜日常款,C09,生鲜,buy,2026-01-01 23:12:00,109.00,1,douyin,windows,北京市,北京市,member,checkout,S000012,0,C202606,云感生鲜,O000011
B000012,U000445,P000161,轻盈家居日用旗舰款,C04,家居日用,buy,2026-01-02 15:20:00,160.00,2,jd,mac,福建省,厦门市,regular,checkout,S000013,0,C202602,轻盈家居,O000012
B000013,U000482,P000088,原野家居日用升级版,C04,家居日用,buy,2026-01-02 13:19:00,89.00,1,taobao,ios,北京市,北京市,regular,checkout,S000014,0,C202605,原野家居,O000013
B000014,U000519,P000151,悦活美妆个护旗舰款,C01,美妆个护,buy,2026-01-02 17:33:00,38.00,1,taobao,android,广东省,深圳市,regular,checkout,S000015,0,C202604,悦活美妆,O000014
