order_id,user_id,product_id,product_name,category_id,category_name,quantity,price,created_at,channel
O000001,U000038,P000030,轻氧家居日用套装,C04,家居日用,1,106.00,2026-01-01 22:14:00,jd
O000001,U000038,P000100,原野运动户外套装,C07,运动户外,1,235.00,2026-01-01 22:14:00,jd
O000001,U000038,P000112,原野生鲜便携装,C09,生鲜,1,113.00,2026-01-01 22:14:00,jd
O000001,U000038,P000023,轻盈食品饮料升级版,C02,食品饮料,3,79.00,2026-01-01 22:14:00,jd
O000002,U000075,P000168,轻氧服饰升级版,C03,服饰,1,368.00,2026-01-01 19:23:00,search
O000002,U000075,P000095,轻盈旅行用品套装,C10,旅行用品,1,577.00,2026-01-01 19:23:00,search
O000003,U000112,P000045,云感食品饮料套装,C02,食品饮料,1,67.00,2026-01-01 17:30:00,douyin
O000003,U000112,P000013,悦活食品饮料升级版,C02,食品饮料,3,91.00,2026-01-01 17:30:00,douyin
O000003,U000112,P000037,悦活运动户外便携装,C07,运动户外,1,152.00,2026-01-01 17:30:00,douyin
O000004,U000149,P000041,轻盈家居日用旗舰款,C04,家居日用,1,166.00,2026-01-01 18:34:00,douyin
O000004,U000149,P000172,原野宠物用品便携装,C08,宠物用品,3,99.00,2026-01-01 18:34:00,douyin
O000004,U000149,P000120,轻氧宠物用品套装,C08,宠物用品,1,58.00,2026-01-01 18:34:00,douyin
O000004,U000149,P000121,悦活运动户外旗舰款,C07,运动户外,1,291.00,2026-01-01 18:34:00,douyin
O000005,U000186,P000081,云感数码配件旗舰款,C05,数码配件,2,152.00,2026-01-01 08:06:00,douyin
O000005,U000186,P000151,悦活美妆个护旗舰款,C01,美妆个护,4,38.00,2026-01-01 08:06:00,douyin
O000006,U000223,P000079,悦活服饰日常款,C03,服饰,1,452.00,2026-01-01 09:55:00,offline
O000006,U000223,P000029,轻盈食品饮料日常款,C02,食品饮料,1,91.00,2026-01-01 09:55:00,offline
O000006,U000223,P000172,原野宠物用品便携装,C08,宠物用品,1,99.00,2026-01-01 09:55:00,offline
O000007,U000260,P000056,臻选旅行用品旗舰款,C10,旅行用品,1,443.00,2026-01-01 18:38:00,offline
O000007,U000260,P000088,原野家居日用升级版,C04,家居日用,1,89.00,2026-01-01 18:38:00,offline
O000007,U000260,P000100,原野运动户外套装,C07,运动户外,1,235.00,2026-01-01 18:38:00,offline
O000008,U000297,P000123,云感宠物用品升级版,C08,宠物用品,4,83.00,2026-01-01 18:43:00,search
O000008,U000297,P000136,原野运动户外旗舰款,C07,运动户外,1,169.00,2026-01-01 18:43:00,search
