order_id,user_id,created_at,order_amount,status,channel,device,province,city,user_segment
O000001,U000038,2026-01-01 22:14:00,691.00,paid,jd,windows,四川省,成都市,high_value
O000002,U000075,2026-01-01 19:23:00,945.00,paid,search,mac,江苏省,南京市,high_value
O000003,U000112,2026-01-01 17:30:00,492.00,completed,douyin,ios,广东省,深圳市,high_value
O000004,U000149,2026-01-01 18:34:00,812.00,completed,douyin,windows,北京市,北京市,member
O000005,U000186,2026-01-01 08:06:00,456.00,completed,douyin,mac,上海市,上海市,member
O000006,U000223,2026-01-01 09:55:00,642.00,paid,offline,ios,北京市,北京市,member
O000007,U000260,2026-01-01 18:38:00,767.00,completed,offline,android,上海市,上海市,member
O000008,U000297,2026-01-01 18:43:00,873.00,paid,search,mac,江苏省,南京市,member
O000009,U000334,2026-01-01 16:55:00,729.00,paid,douyin,windows,福建省,厦门市,member
O000010,U000371,2026-01-01 20:35:00,210.00,paid,jd,windows,上海市,上海市,member
O000011,U000408,2026-01-01 23:12:00,109.00,paid,douyin,windows,北京市,北京市,member
O000012,U000445,2026-01-02 15:20:00,320.00,paid,jd,mac,福建省,厦门市,regular
O000013,U000482,2026-01-02 13:19:00,441.00,completed,taobao,ios,北京市,北京市,regular
O000014,U000519,2026-01-02 17:33:00,1019.00,paid,taobao,android,广东省,深圳市,regular
O000015,U000556,2026-01-02 13:09:00,626.00,paid,taobao,android,广东省,深圳市,regular
O000016,U000593,2026-01-02 08:17:00,88.00,paid,douyin,mac,湖北省,武汉市,regular
O000017,U000630,2026-01-02 23:36:00,363.00,completed,douyin,windows,湖北省,武汉市,regular
O000018,U000667,2026-01-02 19:52:00,475.00,paid,douyin,windows,江苏省,南京市,regular
O000019,U000704,2026-01-02 21:45:00,1028.00,paid,jd,mac,江苏省,南京市,regular
O000020,U000741,2026-01-02 08:59:00,374.00,completed,offline,android,福建省,厦门市,regular
O000021,U000778,2026-01-02 12:46:00,58.00,cancelled,wechat,windows,浙江省,杭州市,regular
O000022,U000815,2026-01-02 08:07:00,1235.00,paid,jd,mac,河南省,郑州市,regular
O000023,U000852,2026-01-03 12:52:00,741.00,paid,wechat,ios,四川省,成都市,new
O000024,U000889,2026-01-03 18:14:00,516.00,completed,wechat,android,广东省,深圳市,new
O000025,U000026,2026-01-03 09:44:00,702.00,paid,offline,windows,上海市,上海市,high_value
O000026,U000063,2026-01-03 18:16:00,926.00,completed,search,mac,湖北省,武汉市,high_value
O000027,U000100,2026-01-03 18:33:00,140.00,paid,offline,android,浙江省,杭州市,high_value
O000028,U000137,2026-01-03 18:48:00,224.00,paid,douyin,android,湖北省,武汉市,member
O000029,U000174,2026-01-03 09:05:00,356.00,paid,search,mac,上海市,上海市,member
O000030,U000211,2026-01-03 20:51:00,156.00,paid,wechat,windows,江苏省,南京市,member
O000031,U000248,2026-01-03 23:09:00,1659.00,paid,offline,windows,浙江省,杭州市,member
O000032,U000285,2026-01-03 12:27:00,592.00,paid,offline,mac,浙江省,杭州市,member
O000033,U000322,2026-01-03 14:36:00,678.00,paid,jd,ios,广东省,深圳市,member
O000034,U000359,2026-01-04 08:37:00,1019.00,paid,jd,android,山东省,青岛市,member
O000035,U000396,2026-01-04 23:14:00,373.00,paid,douyin,windows,浙江省,杭州市,member
O000036,U000433,2026-01-04 20:30:00,181.00,paid,douyin,android,北京市,北京市,regular
O000037,U000470,2026-01-04 18:30:00,412.00,paid,douyin,windows,湖北省,武汉市,regular
O000038,U000507,2026-01-04 19:15:00,554.00,completed,jd,windows,广东省,深圳市,regular
O000039,U000544,2026-01-04 14:40:00,548.00,paid,taobao,ios,江苏省,南京市,regular
O000040,U000581,2026-01-04 23:54:00,459.00,paid,taobao,windows,上海市,上海市,regular
O000041,U000618,2026-01-04 11:49:00,1096.00,cancelled,wechat,windows,福建省,厦门市,regular
O000042,U000655,2026-01-04 19:15:00,707.00,paid,jd,windows,福建省,厦门市,regular
O000043,U000692,2026-01-04 17:40:00,228.00,paid,search,android,河南省,郑州市,regular
O000044,U000729,2026-01-04 15:06:00,644.00,cancelled,search,mac,福建省,厦门市,regular
O000045,U000766,2026-01-05 17:30:00,550.00,paid,taobao,android,山东省,青岛市,regular
O000046,U000803,2026-01-05 17:13:00,743.00,paid,wechat,windows,广东省,深圳市,regular
O000047,U000840,2026-01-05 22:51:00,1078.00,paid,taobao,mac,江苏省,南京市,new
O000048,U000877,2026-01-05 08:51:00,379.00,cancelled,jd,windows,湖北省,武汉市,new
O000049,U000014,2026-01-05 10:45:00,585.00,completed,taobao,ios,湖北省,武汉市,high_value
O000050,U000051,2026-01-05 20:33:00,248.00,paid,search,windows,山东省,青岛市,high_value
O000051,U000088,2026-01-05 08:33:00,726.00,paid,douyin,mac,北京市,北京市,high_value
O000052,U000125,2026-01-05 14:26:00,801.00,cancelled,search,windows,四川省,成都市,member
O000053,U000162,2026-01-05 19:23:00,670.00,paid,search,mac,浙江省,杭州市,member
O000054,U000199,2026-01-05 23:30:00,425.00,paid,taobao,mac,山东省,青岛市,member
O000055,U000236,2026-01-05 20:35:00,67.00,paid,douyin,ios,湖北省,武汉市,member
O000056,U000273,2026-01-06 10:23:00,861.00,paid,douyin,android,湖北省,武汉市,member
O000057,U000310,2026-01-06 22:59:00,652.00,completed,taobao,mac,江苏省,南京市,member
O000058,U000347,2026-01-06 08:04:00,952.00,paid,taobao,mac,河南省,郑州市,member
O000059,U000384,2026-01-06 12:28:00,656.00,paid,search,ios,河南省,郑州市,member
O000060,U000421,2026-01-06 18:41:00,42.00,completed,offline,android,北京市,北京市,regular
O000061,U000458,2026-01-06 12:16:00,439.00,paid,search,android,湖北省,武汉市,regular
O000062,U000495,2026-01-06 08:40:00,1192.00,paid,search,android,北京市,北京市,regular
O000063,U000532,2026-01-06 19:23:00,235.00,paid,offline,android,山东省,青岛市,regular
O000064,U000569,2026-01-06 23:37:00,227.00,paid,wechat,windows,上海市,上海市,regular
O000065,U000606,2026-01-06 21:18:00,639.00,paid,jd,android,四川省,成都市,regular
O000066,U000643,2026-01-06 10:02:00,369.00,completed,search,mac,四川省,成都市,regular
O000067,U000680,2026-01-07 16:46:00,1138.00,paid,wechat,mac,福建省,厦门市,regular
O000068,U000717,2026-01-07 15:22:00,182.00,completed,douyin,mac,北京市,北京市,regular
O000069,U000754,2026-01-07 21:51:00,291.00,paid,wechat,mac,四川省,成都市,regular
O000070,U000791,2026-01-07 08:15:00,728.00,paid,search,windows,上海市,上海市,regular
O000071,U000828,2026-01-07 10:53:00,1036.00,completed,wechat,android,浙江省,杭州市,new
O000072,U000865,2026-01-07 19:31:00,120.00,paid,wechat,android,江苏省,南京市,new
O000073,U000002,2026-01-07 22:58:00,3117.00,paid,offline,android,浙江省,杭州市,high_value
O000074,U000039,2026-01-07 09:01:00,715.00,paid,taobao,mac,福建省,厦门市,high_value
O000075,U000076,2026-01-07 13:53:00,418.00,paid,offline,ios,河南省,郑州市,high_value
O000076,U000113,2026-01-07 13:15:00,282.00,completed,wechat,windows,江苏省,南京市,high_value
O000077,U000150,2026-01-07 21:52:00,148.00,cancelled,jd,windows,江苏省,南京市,member
O000078,U000187,2026-01-08 20:23:00,1026.00,completed,jd,windows,湖北省,武汉市,member
O000079,U000224,2026-01-08 08:39:00,154.00,paid,taobao,android,浙江省,杭州市,member
O000080,U000261,2026-01-08 11:16:00,421.00,paid,wechat,mac,浙江省,杭州市,member
O000081,U000298,2026-01-08 16:06:00,268.00,cancelled,jd,ios,江苏省,南京市,member
O000082,U000335,2026-01-08 09:45:00,138.00,paid,douyin,windows,北京市,北京市,member
O000083,U000372,2026-01-08 18:41:00,328.00,paid,wechat,ios,河南省,郑州市,member
O000084,U000409,2026-01-08 23:02:00,740.00,paid,offline,android,四川省,成都市,member
O000085,U000446,2026-01-08 11:31:00,2577.00,paid,taobao,ios,四川省,成都市,regular
O000086,U000483,2026-01-08 11:43:00,895.00,paid,taobao,android,浙江省,杭州市,regular
O000087,U000520,2026-01-08 22:15:00,830.00,paid,wechat,windows,山东省,青岛市,regular
O000088,U000557,2026-01-08 20:20:00,1226.00,paid,taobao,android,河南省,郑州市,regular
O000089,U000594,2026-01-09 10:05:00,374.00,paid,offline,ios,广东省,深圳市,regular
O000090,U000631,2026-01-09 13:28:00,535.00,completed,wechat,ios,浙江省,杭州市,regular
O000091,U000668,2026-01-09 20:07:00,168.00,paid,wechat,windows,上海市,上海市,regular
O000092,U000705,2026-01-09 09:00:00,744.00,paid,search,android,北京市,北京市,regular
O000093,U000742,2026-01-09 15:50:00,590.00,paid,douyin,ios,河南省,郑州市,regular
O000094,U000779,2026-01-09 16:26:00,194.00,paid,offline,windows,上海市,上海市,regular
O000095,U000816,2026-01-09 16:08:00,444.00,completed,jd,mac,上海市,上海市,regular
O000096,U000853,2026-01-09 18:59:00,1579.00,paid,taobao,android,北京市,北京市,new
O000097,U000890,2026-01-09 08:19:00,434.00,paid,search,windows,浙江省,杭州市,new
O000098,U000027,2026-01-09 17:35:00,165.00,paid,jd,mac,浙江省,杭州市,high_value
O000099,U000064,2026-01-09 12:40:00,779.00,completed,jd,windows,山东省,青岛市,high_value
O000100,U000101,2026-01-10 15:28:00,900.00,paid,taobao,windows,江苏省,南京市,high_value
O000101,U000138,2026-01-10 10:41:00,288.00,paid,offline,ios,湖北省,武汉市,member
O000102,U000175,2026-01-10 09:47:00,73.00,paid,taobao,android,福建省,厦门市,member
O000103,U000212,2026-01-10 12:02:00,69.00,paid,wechat,windows,四川省,成都市,member
O000104,U000249,2026-01-10 22:03:00,2629.00,paid,search,android,江苏省,南京市,member
O000105,U000286,2026-01-10 14:57:00,810.00,paid,search,mac,山东省,青岛市,member
O000106,U000323,2026-01-10 10:47:00,60.00,paid,douyin,android,湖北省,武汉市,member
O000107,U000360,2026-01-10 23:30:00,425.00,paid,wechat,android,山东省,青岛市,member
O000108,U000397,2026-01-10 21:05:00,818.00,paid,douyin,mac,江苏省,南京市,member
O000109,U000434,2026-01-10 09:56:00,608.00,paid,wechat,mac,北京市,北京市,regular
O000110,U000471,2026-01-10 19:33:00,214.00,paid,jd,mac,上海市,上海市,regular
O000111,U000508,2026-01-11 12:42:00,1159.00,paid,offline,android,河南省,郑州市,regular
O000112,U000545,2026-01-11 20:33:00,632.00,completed,douyin,windows,四川省,成都市,regular
O000113,U000582,2026-01-11 23:10:00,743.00,paid,taobao,windows,福建省,厦门市,regular
O000114,U000619,2026-01-11 18:28:00,286.00,paid,douyin,mac,上海市,上海市,regular
O000115,U000656,2026-01-11 16:15:00,452.00,paid,taobao,windows,四川省,成都市,regular
O000116,U000693,2026-01-11 20:55:00,352.00,paid,taobao,mac,浙江省,杭州市,regular
O000117,U000730,2026-01-11 10:18:00,844.00,paid,douyin,android,四川省,成都市,regular
O000118,U000767,2026-01-11 19:37:00,451.00,paid,jd,windows,湖北省,武汉市,regular
O000119,U000804,2026-01-11 13:46:00,544.00,paid,wechat,mac,上海市,上海市,regular
O000120,U000841,2026-01-11 08:12:00,464.00,paid,search,android,江苏省,南京市,new
O000121,U000878,2026-01-11 10:32:00,484.00,completed,douyin,mac,福建省,厦门市,new
O000122,U000015,2026-01-12 16:57:00,455.00,paid,search,mac,湖北省,武汉市,high_value
O000123,U000052,2026-01-12 18:46:00,266.00,paid,offline,android,北京市,北京市,high_value
O000124,U000089,2026-01-12 22:51:00,370.00,paid,jd,ios,湖北省,武汉市,high_value
O000125,U000126,2026-01-12 14:20:00,351.00,paid,search,android,浙江省,杭州市,member
O000126,U000163,2026-01-12 15:25:00,844.00,paid,wechat,mac,江苏省,南京市,member
O000127,U000200,2026-01-12 10:19:00,301.00,paid,search,ios,浙江省,杭州市,member
O000128,U000237,2026-01-12 10:28:00,867.00,paid,douyin,ios,江苏省,南京市,member
O000129,U000274,2026-01-12 08:14:00,248.00,cancelled,search,android,广东省,深圳市,member
O000130,U000311,2026-01-12 20:41:00,142.00,paid,jd,ios,上海市,上海市,member
O000131,U000348,2026-01-12 17:41:00,90.00,paid,jd,ios,北京市,北京市,member
O000132,U000385,2026-01-12 19:46:00,496.00,paid,search,ios,北京市,北京市,member
O000133,U000422,2026-01-13 22:28:00,649.00,paid,douyin,windows,湖北省,武汉市,regular
O000134,U000459,2026-01-13 20:05:00,709.00,completed,search,ios,湖北省,武汉市,regular
O000135,U000496,2026-01-13 19:38:00,1124.00,paid,jd,mac,湖北省,武汉市,regular
O000136,U000533,2026-01-13 10:24:00,1044.00,completed,wechat,ios,四川省,成都市,regular
O000137,U000570,2026-01-13 09:44:00,837.00,paid,offline,ios,江苏省,南京市,regular
O000138,U000607,2026-01-13 15:51:00,44.00,paid,jd,windows,湖北省,武汉市,regular
O000139,U000644,2026-01-13 17:03:00,248.00,paid,search,mac,山东省,青岛市,regular
O000140,U000681,2026-01-13 21:30:00,484.00,paid,search,windows,江苏省,南京市,regular
O000141,U000718,2026-01-13 13:30:00,469.00,paid,offline,mac,河南省,郑州市,regular
O000142,U000755,2026-01-13 17:56:00,226.00,cancelled,jd,windows,浙江省,杭州市,regular
O000143,U000792,2026-01-13 12:17:00,1356.00,paid,taobao,android,山东省,青岛市,regular
O000144,U000829,2026-01-14 14:31:00,269.00,paid,jd,windows,江苏省,南京市,new
O000145,U000866,2026-01-14 09:22:00,746.00,paid,jd,android,湖北省,武汉市,new
O000146,U000003,2026-01-14 08:16:00,890.00,completed,jd,ios,山东省,青岛市,high_value
O000147,U000040,2026-01-14 23:01:00,345.00,paid,wechat,windows,北京市,北京市,high_value
O000148,U000077,2026-01-14 22:12:00,674.00,paid,search,android,福建省,厦门市,high_value
O000149,U000114,2026-01-14 15:49:00,613.00,paid,wechat,windows,江苏省,南京市,high_value
O000150,U000151,2026-01-14 13:25:00,88.00,paid,jd,mac,福建省,厦门市,member
O000151,U000188,2026-01-14 08:54:00,384.00,paid,search,android,浙江省,杭州市,member
O000152,U000225,2026-01-14 11:08:00,534.00,paid,offline,ios,广东省,深圳市,member
O000153,U000262,2026-01-14 20:47:00,411.00,paid,search,mac,广东省,深圳市,member
O000154,U000299,2026-01-14 16:55:00,814.00,cancelled,taobao,ios,广东省,深圳市,member
O000155,U000336,2026-01-15 16:47:00,71.00,paid,search,mac,山东省,青岛市,member
O000156,U000373,2026-01-15 15:53:00,69.00,paid,douyin,ios,福建省,厦门市,member
O000157,U000410,2026-01-15 13:12:00,821.00,paid,douyin,mac,江苏省,南京市,member
O000158,U000447,2026-01-15 11:26:00,987.00,cancelled,search,ios,上海市,上海市,regular
O000159,U000484,2026-01-15 15:14:00,329.00,paid,jd,windows,河南省,郑州市,regular
O000160,U000521,2026-01-15 10:50:00,141.00,completed,taobao,mac,上海市,上海市,regular
O000161,U000558,2026-01-15 09:48:00,1207.00,paid,wechat,android,湖北省,武汉市,regular
O000162,U000595,2026-01-15 18:47:00,813.00,paid,taobao,mac,福建省,厦门市,regular
O000163,U000632,2026-01-15 19:51:00,153.00,paid,wechat,android,广东省,深圳市,regular
O000164,U000669,2026-01-15 10:56:00,108.00,completed,douyin,windows,北京市,北京市,regular
O000165,U000706,2026-01-15 21:33:00,158.00,cancelled,douyin,mac,福建省,厦门市,regular
O000166,U000743,2026-01-16 16:43:00,212.00,paid,jd,android,上海市,上海市,regular
O000167,U000780,2026-01-16 21:51:00,149.00,paid,search,android,浙江省,杭州市,regular
