refund_id,order_id,user_id,refund_amount,refund_at,refund_reason,refund_type,status,channel
R000001,O000018,U000667,475.00,2026-01-03 14:53:00,不想要了,full,approved,douyin
R000002,O000036,U000433,181.00,2026-01-05 10:08:00,发货延迟,full,approved,douyin
R000003,O000057,U000310,652.00,2026-01-07 10:53:00,重复下单,full,pending,taobao
R000004,O000074,U000039,715.00,2026-01-10 16:18:00,不想要了,full,approved,taobao
R000005,O000093,U000742,590.00,2026-01-12 17:19:00,商品破损,full,approved,douyin
R000006,O000110,U000471,105.44,2026-01-14 21:10:00,发货延迟,partial,approved,jd
R000007,O000127,U000200,204.36,2026-01-17 10:11:00,发货延迟,partial,pending,search
R000008,O000146,U000003,890.00,2026-01-19 12:15:00,重复下单,full,approved,jd
R000009,O000166,U000743,212.00,2026-01-21 20:54:00,不想要了,full,approved,jd
R000010,O000183,U000472,1211.00,2026-01-24 20:15:00,重复下单,full,approved,douyin
R000011,O000203,U000312,221.00,2026-01-26 10:53:00,与描述不符,partial,approved,offline
R000012,O000221,U000078,99.00,2026-01-28 16:14:00,与描述不符,full,approved,search
R000013,O000239,U000744,304.00,2026-01-30 14:40:00,重复下单,full,approved,offline
R000014,O000258,U000547,429.00,2026-02-02 16:15:00,发货延迟,full,approved,search
R000015,O000276,U000313,499.00,2026-02-04 10:08:00,与描述不符,full,approved,douyin
R000016,O000296,U000153,53.02,2026-02-06 09:12:00,与描述不符,partial,approved,douyin
R000017,O000314,U000819,496.00,2026-02-09 14:28:00,商品破损,full,approved,wechat
R000018,O000333,U000622,86.00,2026-02-11 11:26:00,不想要了,full,approved,taobao
R000019,O000350,U000351,1434.00,2026-02-13 13:36:00,不想要了,full,approved,jd
R000020,O000369,U000154,2037.00,2026-02-16 10:41:00,尺码不合适,full,approved,taobao
R000021,O000386,U000783,14.11,2026-02-18 18:52:00,发货延迟,partial,approved,search
R000022,O000405,U000586,426.00,2026-02-20 20:59:00,不想要了,full,pending,jd
R000023,O000422,U000315,264.92,2026-02-22 14:35:00,重复下单,partial,pending,douyin
R000024,O000440,U000081,69.00,2026-02-25 17:34:00,尺码不合适,full,approved,search
R000025,O000459,U000784,271.00,2026-02-27 21:03:00,不想要了,full,approved,search
R000026,O000477,U000550,280.00,2026-03-01 13:20:00,不想要了,full,pending,offline
R000027,O000495,U000316,1017.00,2026-03-04 09:17:00,尺码不合适,full,approved,taobao
R000028,O000514,U000119,179.32,2026-03-06 20:25:00,发货延迟,partial,approved,wechat
R000029,O000531,U000748,202.00,2026-03-08 19:57:00,重复下单,full,approved,search
R000030,O000550,U000551,168.81,2026-03-11 13:21:00,与描述不符,partial,approved,search
R000031,O000569,U000354,890.00,2026-03-13 20:14:00,尺码不合适,full,approved,douyin
R000032,O000587,U000120,377.00,2026-03-15 15:39:00,发货延迟,full,approved,jd
R000033,O000607,U000860,452.00,2026-03-17 18:09:00,重复下单,full,approved,wechat
R000034,O000625,U000626,169.13,2026-03-20 15:03:00,不想要了,partial,pending,taobao
R000035,O000642,U000355,160.00,2026-03-22 14:25:00,尺码不合适,full,approved,taobao
R000036,O000660,U000121,416.89,2026-03-24 10:46:00,重复下单,partial,approved,jd
R000037,O000677,U000750,53.20,2026-03-27 17:15:00,重复下单,partial,pending,search
R000038,O000696,U000553,940.00,2026-03-29 15:55:00,商品破损,full,approved,search
R000039,O000713,U000282,694.00,2026-03-31 22:38:00,重复下单,full,approved,taobao
R000040,O000732,U000085,462.00,2026-04-03 10:35:00,不想要了,full,pending,wechat
R000041,O000749,U000714,428.00,2026-04-05 15:38:00,商品破损,full,approved,jd
R000042,O000768,U000517,721.00,2026-04-07 09:09:00,不想要了,full,approved,search
R000043,O000785,U000246,152.00,2026-04-09 11:24:00,发货延迟,full,approved,offline
R000044,O000802,U000875,820.00,2026-04-12 09:20:00,不想要了,full,approved,taobao
R000045,O000820,U000641,30.00,2026-04-14 20:16:00,商品破损,full,approved,douyin
R000046,O000838,U000407,772.00,2026-04-16 17:52:00,商品破损,full,approved,wechat
R000047,O000856,U000173,599.00,2026-04-19 18:18:00,发货延迟,full,approved,search
R000048,O000873,U000802,230.00,2026-04-21 18:12:00,不想要了,full,approved,search
R000049,O000891,U000568,320.88,2026-04-23 10:30:00,商品破损,partial,approved,taobao
R000050,O000911,U000359,671.00,2026-04-25 21:33:00,重复下单,full,pending,jd
R000051,O000928,U000652,168.00,2026-04-28 21:08:00,不想要了,full,approved,search
R000052,O000946,U000803,683.00,2026-04-30 18:27:00,发货延迟,full,approved,jd
R000053,O000963,U000441,109.38,2026-05-02 18:14:00,与描述不符,partial,approved,taobao
